iter	Passed	Remaining
321	12404	26118
322	12442	26079
323	12477	26033
324	12514	25992
325	12553	25953
326	12589	25910
327	12638	25894
328	12674	25849
329	12711	25809
330	12748	25766
331	12783	25721
332	12819	25677
333	12857	25638
334	12895	25598
335	12933	25559
336	12980	25536
337	13014	25490
338	13050	25447
339	13099	25428
340	13139	25392
341	13175	25349
342	13225	25333
343	13262	25291
344	13297	25245
345	13332	25200
346	13367	25154
347	13417	25137
348	13454	25096
349	13496	25064
350	13528	25014
351	13576	24993
352	13612	24949
353	13647	24905
354	13685	24864
355	13720	24820
356	13756	24777
357	13807	24760
358	13843	24717
359	13878	24672
360	13914	24629
361	13950	24586
362	13983	24538
363	14022	24501
364	14057	24456
365	14093	24412
366	14128	24368
367	14163	24324
368	14202	24286
369	14239	24245
370	14276	24204
371	14310	24158
372	14347	24117
373	14382	24073
374	14417	24028
375	14456	23991
376	14493	23950
377	14529	23908
378	14575	23882
379	14611	23840
380	14647	23797
381	14689	23764
382	14723	23719
383	14757	23673
384	14801	23643
385	14836	23599
386	14870	23554
387	14909	23516
388	14947	23478
389	14985	23439
390	15031	23412
391	15067	23369
392	15103	23327
393	15150	23301
394	15186	23260
395	15223	23220
396	15259	23177
397	15298	23139
398	15335	23099
399	15373	23059
400	15408	23016
